timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
1764861884.6664648,-8388608,67191,-8388608,-231196,-8388608,-172406,-8388608,-8388608
1764861884.666614,-8388608,63373,-8388608,-241972,-8388608,-175029,-8388608,-8388608
1764861884.6667387,-8388608,60451,-8388608,-250363,-8388608,-183782,-8388608,-8388608
1764861884.6668575,-8388608,58201,-8388608,-255372,-8388608,-188394,-8388608,-8388608
1764861884.6669755,-8388608,55302,-8388608,-258451,-8388608,-186915,-8388608,-8388608
1764861884.6670923,-8388608,53059,-8388608,-259563,-8388608,-183281,-8388608,-8388608
1764861884.6672094,-8388608,52011,-8388608,-258479,-8388608,-180211,-8388608,-8388608
1764861884.667331,-8388608,52090,-8388608,-255757,-8388608,-181466,-8388608,-8388608
1764861884.6674497,-8388608,49465,-8388608,-253614,-8388608,-183646,-8388608,-8388608
1764861884.6675882,-8388608,44104,-8388608,-249437,-8388608,-184553,-8388608,-8388608
1764861884.6677103,-8388608,41668,-8388608,-242506,-8388608,-185091,-8388608,-8388608
1764861884.6678429,-8388608,41646,-8388608,-236002,-8388608,-182959,-8388608,-8388608
1764861884.6679707,-8388608,38598,-8388608,-224624,-8388608,-175862,-8388608,-8388608
1764861884.6680958,-8388608,36949,-8388608,-210006,-8388608,-171159,-8388608,-8388608
1764861884.6682208,-8388608,34649,-8388608,-195545,-8388608,-160487,-8388608,-8388608
1764861884.726611,-8388608,30753,-8388608,-177101,-8388608,-146281,-8388608,-8388608
1764861884.7267358,-8388608,25468,-8388608,-159191,-8388608,-136102,-8388608,-8388608
1764861884.726852,-8388608,22629,-8388608,-148705,-8388608,-131308,-8388608,-8388608
1764861884.7269664,-8388608,20958,-8388608,-145847,-8388608,-126181,-8388608,-8388608
1764861884.7270799,-8388608,17858,-8388608,-150392,-8388608,-121282,-8388608,-8388608
1764861884.7271886,-8388608,13848,-8388608,-157323,-8388608,-117576,-8388608,-8388608
1764861884.7272966,-8388608,11844,-8388608,-167043,-8388608,-115109,-8388608,-8388608
1764861884.7274044,-8388608,12573,-8388608,-178513,-8388608,-111071,-8388608,-8388608
1764861884.7275128,-8388608,15131,-8388608,-188091,-8388608,-100944,-8388608,-8388608
1764861884.727631,-8388608,20787,-8388608,-191776,-8388608,-90275,-8388608,-8388608
1764861884.7277396,-8388608,27172,-8388608,-193277,-8388608,-81861,-8388608,-8388608
1764861884.727849,-8388608,31136,-8388608,-197305,-8388608,-76814,-8388608,-8388608
1764861884.7279594,-8388608,30638,-8388608,-204803,-8388608,-77695,-8388608,-8388608
1764861884.7280931,-8388608,28778,-8388608,-213291,-8388608,-84691,-8388608,-8388608
1764861884.7282026,-8388608,24743,-8388608,-222671,-8388608,-102353,-8388608,-8388608
1764861884.7861598,-8388608,20356,-8388608,-230084,-8388608,-117982,-8388608,-8388608
1764861884.7862685,-8388608,23389,-8388608,-233564,-8388608,-122195,-8388608,-8388608
1764861884.7863753,-8388608,26479,-8388608,-229826,-8388608,-118213,-8388608,-8388608
1764861884.7864833,-8388608,28825,-8388608,-223771,-8388608,-110994,-8388608,-8388608
1764861884.7865908,-8388608,31359,-8388608,-217067,-8388608,-103064,-8388608,-8388608
1764861884.786698,-8388608,32252,-8388608,-211179,-8388608,-97198,-8388608,-8388608
1764861884.7868063,-8388608,34824,-8388608,-205410,-8388608,-95607,-8388608,-8388608
1764861884.7869136,-8388608,38576,-8388608,-200605,-8388608,-96414,-8388608,-8388608
1764861884.7870204,-8388608,41565,-8388608,-198117,-8388608,-99447,-8388608,-8388608
1764861884.787127,-8388608,42987,-8388608,-197819,-8388608,-102959,-8388608,-8388608
1764861884.7872336,-8388608,43382,-8388608,-200220,-8388608,-106929,-8388608,-8388608
1764861884.7873416,-8388608,43358,-8388608,-203012,-8388608,-109645,-8388608,-8388608
1764861884.787449,-8388608,44036,-8388608,-205149,-8388608,-113352,-8388608,-8388608
1764861884.7875648,-8388608,42838,-8388608,-208414,-8388608,-116069,-8388608,-8388608
1764861884.7876728,-8388608,42023,-8388608,-210546,-8388608,-119916,-8388608,-8388608
1764861884.8457658,-8388608,42494,-8388608,-211482,-8388608,-125392,-8388608,-8388608
1764861884.8458838,-8388608,44132,-8388608,-214226,-8388608,-130033,-8388608,-8388608
1764861884.8459916,-8388608,45012,-8388608,-218334,-8388608,-131360,-8388608,-8388608
1764861884.8460999,-8388608,48081,-8388608,-219937,-8388608,-134895,-8388608,-8388608
1764861884.846207,-8388608,48102,-8388608,-225152,-8388608,-135100,-8388608,-8388608
1764861884.846314,-8388608,49442,-8388608,-228604,-8388608,-133115,-8388608,-8388608
1764861884.8464212,-8388608,55043,-8388608,-229061,-8388608,-129999,-8388608,-8388608
1764861884.8465283,-8388608,60930,-8388608,-228361,-8388608,-125629,-8388608,-8388608
