trial_id,start_time,end_time,label
1,1764974957.550253,1764974958.5503266,apoyo
1,1764974958.550441,1764974959.550504,oscilacion
2,1764974959.5525782,1764974960.5526543,apoyo
2,1764974960.5526817,1764974961.5527427,oscilacion
3,1764974961.5547001,1764974962.5547702,apoyo
3,1764974962.554885,1764974963.5549545,oscilacion
4,1764974963.5571604,1764974964.5572302,apoyo
4,1764974964.5573409,1764974965.5574024,oscilacion
5,1764974965.5594146,1764974966.5594842,apoyo
5,1764974966.5595086,1764974967.5595694,oscilacion
6,1764974967.5614488,1764974968.5615175,apoyo
6,1764974968.561552,1764974969.5616188,oscilacion
7,1764974969.563604,1764974970.5636706,apoyo
7,1764974970.5637028,1764974971.5637658,oscilacion
8,1764974971.5658677,1764974972.565936,apoyo
8,1764974972.5659683,1764974973.5660312,oscilacion
9,1764974973.5679386,1764974974.56801,apoyo
9,1764974974.5680335,1764974975.5680988,oscilacion
10,1764974975.570162,1764974976.5702283,apoyo
10,1764974976.5702631,1764974977.570324,oscilacion
11,1764974977.5723445,1764974978.5724165,apoyo
11,1764974978.5724404,1764974979.5725002,oscilacion
12,1764974979.574479,1764974980.5745494,apoyo
12,1764974980.5745838,1764974981.5746534,oscilacion
13,1764974981.5767832,1764974982.5768476,apoyo
13,1764974982.5768814,1764974983.5769434,oscilacion
14,1764974983.5790477,1764974984.579113,apoyo
14,1764974984.579146,1764974985.5792148,oscilacion
15,1764974985.5811777,1764974986.5812457,apoyo
15,1764974986.581281,1764974987.5813572,oscilacion
16,1764974987.583446,1764974988.583512,apoyo
16,1764974988.5835354,1764974989.5835974,oscilacion
17,1764974989.5856714,1764974990.5857418,apoyo
17,1764974990.5857677,1764974991.585828,oscilacion
18,1764974991.5877883,1764974992.5878546,apoyo
18,1764974992.5878806,1764974993.5879443,oscilacion
19,1764974993.5899248,1764974994.5899923,apoyo
19,1764974994.5900192,1764974995.5900862,oscilacion
20,1764974995.5920303,1764974996.5920982,apoyo
20,1764974996.5921183,1764974997.5921795,oscilacion
21,1764974997.5941243,1764974998.594194,apoyo
21,1764974998.5942183,1764974999.5942798,oscilacion
22,1764974999.596253,1764975000.5963178,apoyo
22,1764975000.5963418,1764975001.5964077,oscilacion
23,1764975001.5984359,1764975002.5985057,apoyo
23,1764975002.5985296,1764975003.5985904,oscilacion
24,1764975003.6006463,1764975004.6007118,apoyo
24,1764975004.6007378,1764975005.6008003,oscilacion
25,1764975005.602769,1764975006.6028345,apoyo
25,1764975006.6028607,1764975007.6029446,oscilacion
26,1764975007.604946,1764975008.6050115,apoyo
26,1764975008.6050353,1764975009.6050968,oscilacion
27,1764975009.6071453,1764975010.6072106,apoyo
27,1764975010.607245,1764975011.6073089,oscilacion
28,1764975011.6092427,1764975012.6093125,apoyo
28,1764975012.6093383,1764975013.6094022,oscilacion
29,1764975013.6113966,1764975014.6114821,apoyo
29,1764975014.611507,1764975015.6115701,oscilacion
30,1764975015.6136305,1764975016.6136982,apoyo
30,1764975016.6137202,1764975017.6137843,oscilacion
