trial_id,start_time,end_time,label
1,1764948206.2585871,1764948207.2586613,apoyo
1,1764948207.2588024,1764948208.258865,oscilacion
2,1764948208.2608573,1764948209.2609222,apoyo
2,1764948209.2610407,1764948210.2611017,oscilacion
3,1764948210.263222,1764948211.2632928,apoyo
3,1764948211.2634091,1764948212.263475,oscilacion
4,1764948212.265541,1764948213.2656102,apoyo
4,1764948213.265742,1764948214.2658038,oscilacion
5,1764948214.267727,1764948215.2678008,apoyo
5,1764948215.267825,1764948216.267886,oscilacion
6,1764948216.2698371,1764948217.2699156,apoyo
6,1764948217.2700388,1764948218.2701135,oscilacion
7,1764948218.2721906,1764948219.2722697,apoyo
7,1764948219.2723978,1764948220.2724597,oscilacion
8,1764948220.2744975,1764948221.2745717,apoyo
8,1764948221.2746925,1764948222.2747536,oscilacion
9,1764948222.2768,1764948223.2768726,apoyo
9,1764948223.2769907,1764948224.2770522,oscilacion
10,1764948224.2792056,1764948225.2792802,apoyo
10,1764948225.2794104,1764948226.2794733,oscilacion
11,1764948226.2814405,1764948227.2815151,apoyo
11,1764948227.2816346,1764948228.281695,oscilacion
12,1764948228.2837398,1764948229.2838078,apoyo
12,1764948229.2839336,1764948230.2839987,oscilacion
13,1764948230.2860742,1764948231.2861443,apoyo
13,1764948231.2862897,1764948232.286353,oscilacion
14,1764948232.2883492,1764948233.2884157,apoyo
14,1764948233.2885315,1764948234.2885938,oscilacion
15,1764948234.2905934,1764948235.2906597,apoyo
15,1764948235.2907822,1764948236.2908478,oscilacion
16,1764948236.2930112,1764948237.2930772,apoyo
16,1764948237.2932239,1764948238.2932863,oscilacion
17,1764948238.2952607,1764948239.2953424,apoyo
17,1764948239.295459,1764948240.2955213,oscilacion
18,1764948240.297487,1764948241.297562,apoyo
18,1764948241.2977118,1764948242.2977865,oscilacion
19,1764948242.2999287,1764948243.3000028,apoyo
19,1764948243.3001451,1764948244.3002148,oscilacion
20,1764948244.3021643,1764948245.3022318,apoyo
20,1764948245.3023596,1764948246.3024528,oscilacion
21,1764948246.3044417,1764948247.3045092,apoyo
21,1764948247.304644,1764948248.3047144,oscilacion
22,1764948248.3067114,1764948249.3067832,apoyo
22,1764948249.3069494,1764948250.307011,oscilacion
23,1764948250.308955,1764948251.3090224,apoyo
23,1764948251.309131,1764948252.3091927,oscilacion
24,1764948252.3112543,1764948253.3113227,apoyo
24,1764948253.3114195,1764948254.3114839,oscilacion
25,1764948254.313546,1764948255.3136108,apoyo
25,1764948255.313724,1764948256.3137972,oscilacion
26,1764948256.3157763,1764948257.3158395,apoyo
26,1764948257.3159406,1764948258.3160033,oscilacion
27,1764948258.3181307,1764948259.3181937,apoyo
27,1764948259.318327,1764948260.3183885,oscilacion
28,1764948260.320455,1764948261.32053,apoyo
28,1764948261.320639,1764948262.3207011,oscilacion
29,1764948262.3226926,1764948263.3227644,apoyo
29,1764948263.322856,1764948264.3229473,oscilacion
30,1764948264.3250446,1764948265.3251069,apoyo
30,1764948265.3251956,1764948266.32526,oscilacion
