trial_id,start_time,end_time,label
1,1763572958.9192345,1763572963.9193242,apoyo
1,1763572963.9193652,1763572968.9194062,oscilacion
2,1763572970.9217293,1763572975.9217973,apoyo
2,1763572975.9219544,1763572980.9220195,oscilacion
3,1763572982.9244874,1763572987.9245224,apoyo
3,1763572987.9246638,1763572992.9247162,oscilacion
4,1763572994.9268992,1763572999.926955,apoyo
4,1763572999.9269943,1763573004.927058,oscilacion
5,1763573006.9293168,1763573011.9293687,apoyo
5,1763573011.9294026,1763573016.9294739,oscilacion
6,1763573018.9317203,1763573023.9317765,apoyo
6,1763573023.9318137,1763573028.9318764,oscilacion
7,1763573030.9340196,1763573035.9340749,apoyo
7,1763573035.9341094,1763573040.9341717,oscilacion
8,1763573042.9364128,1763573047.9364452,apoyo
8,1763573047.936469,1763573052.9365318,oscilacion
9,1763573054.9386954,1763573059.938757,apoyo
9,1763573059.9387882,1763573064.9388485,oscilacion
10,1763573066.9410095,1763573071.9410503,apoyo
10,1763573071.9410863,1763573076.941147,oscilacion
