timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,etiqueta
1759632530.08348,3245023,1135773,-4689532,-4015092,-1578834,-3412124,-4683673,8388607,contraccion
1759632530.0835884,3235903,1127688,-4701244,-4025876,-1588505,-3418699,-4694297,8388607,contraccion
1759632530.0836966,3225170,1117327,-4715442,-4039367,-1600899,-3428010,-4707641,8388607,contraccion
1759632530.0838046,3217678,1111195,-4725089,-4047902,-1608360,-3432269,-4716000,8388607,contraccion
1759632530.083913,3213041,1108783,-4730614,-4052061,-1611332,-3432084,-4719986,8388607,contraccion
1759632530.0840218,3206517,1103767,-4739018,-4059331,-1617418,-3435049,-4727131,8388607,contraccion
1759632530.0841298,3197438,1095544,-4750906,-4070249,-1627196,-3441746,-4737911,8388607,contraccion
1759632530.142099,3186743,1084904,-4765441,-4083942,-1639850,-3451374,-4751573,8388607,contraccion
1759632530.1422102,3179456,1078818,-4775011,-4092499,-1647229,-3455753,-4759859,8388607,contraccion
1759632530.1423173,3175148,1076658,-4780324,-4096492,-1650067,-3455461,-4763534,8388607,contraccion
1759632530.142425,3168802,1071823,-4788538,-4103648,-1656046,-3458417,-4770537,8388607,contraccion
1759632530.1425395,3159690,1063592,-4800401,-4114537,-1665837,-3465203,-4781399,8388607,contraccion
1759632530.142647,3148890,1052891,-4815047,-4128399,-1678688,-3475027,-4795331,8388607,contraccion
1759632530.1427546,3141608,1046876,-4824569,-4136859,-1686044,-3479296,-4803661,8388607,contraccion
1759632530.1428611,3137274,1044802,-4829709,-4140726,-1688697,-3478874,-4807296,8388607,contraccion
1759632530.142969,3130936,1039880,-4837942,-4147927,-1694646,-3481884,-4814339,8388607,contraccion
1759632530.143077,3121833,1031543,-4849971,-4158994,-1704576,-3488777,-4825217,8388607,contraccion
1759632530.1431928,3110940,1020736,-4864806,-4173024,-1717522,-3498717,-4839195,8388607,contraccion
1759632530.1433024,3103763,1014748,-4874241,-4181364,-1724701,-3502889,-4847449,8388607,contraccion
1759632530.1434104,3099593,1012840,-4879301,-4185122,-1727218,-3502384,-4851001,8388607,contraccion
1759632530.1435192,3093307,1007904,-4887666,-4192245,-1733121,-3505390,-4858049,8388607,contraccion
1759632530.1436274,3084286,999512,-4899705,-4203229,-1742989,-3512270,-4869027,8388607,contraccion
1759632530.2017925,3073492,988657,-4914549,-4217198,-1755979,-3522273,-4883142,8388607,contraccion
1759632530.201902,3066337,982651,-4924071,-4225601,-1763227,-3526521,-4891397,8388607,contraccion
1759632530.2020094,3062181,980623,-4929182,-4229334,-1765664,-3526057,-4894876,8388607,contraccion
1759632530.202117,3055941,975714,-4937535,-4236515,-1771634,-3529167,-4901902,8388607,contraccion
1759632530.2022247,3046943,967454,-4949527,-4247569,-1781531,-3536120,-4912804,8388607,contraccion
1759632530.2023327,3036236,956746,-4964341,-4261538,-1794442,-3546078,-4926886,8388607,contraccion
1759632530.2024405,3029204,950794,-4973822,-4269917,-1801651,-3550261,-4935144,8388607,contraccion
