trial_id,start_time,end_time,label
1,1763515839.7571867,1763515841.7572508,apoyo
1,1763515841.7572768,1763515843.7573442,oscilacion
2,1763515845.7595475,1763515847.759611,apoyo
2,1763515847.7596486,1763515849.7597153,oscilacion
3,1763515851.7618608,1763515853.7619238,apoyo
3,1763515853.7619493,1763515855.7620215,oscilacion
4,1763515857.7642,1763515859.7642658,apoyo
4,1763515859.7643037,1763515861.7643647,oscilacion
5,1763515863.7665026,1763515865.7665658,apoyo
5,1763515865.7666023,1763515867.7666626,oscilacion
