trial_id,start_time,end_time,label
1,1764116273.668937,1764116275.669,apoyo
1,1764116275.6691353,1764116277.6692007,oscilacion
2,1764116279.6714988,1764116281.6715617,apoyo
2,1764116281.6715868,1764116283.671655,oscilacion
3,1764116285.6740797,1764116287.6741436,apoyo
3,1764116287.6742904,1764116289.674356,oscilacion
4,1764116291.6768243,1764116293.6768866,apoyo
4,1764116293.6769965,1764116295.6770642,oscilacion
5,1764116297.6795797,1764116299.6796482,apoyo
5,1764116299.6797945,1764116301.67986,oscilacion
6,1764116303.6826315,1764116305.682699,apoyo
6,1764116305.6827254,1764116307.6827898,oscilacion
7,1764116309.685156,1764116311.6852226,apoyo
7,1764116311.6852474,1764116313.6853116,oscilacion
8,1764116315.687659,1764116317.6877227,apoyo
8,1764116317.6878717,1764116319.687936,oscilacion
9,1764116321.6902668,1764116323.6903331,apoyo
9,1764116323.690493,1764116325.6905565,oscilacion
10,1764116327.6929128,1764116329.6929772,apoyo
10,1764116329.6931186,1764116331.69318,oscilacion
