timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
1759962673.381759,6336856,-7538201,-7569408,32768,32768,32768,32768,32767
1759962673.382035,90619,-1963292,-2425466,-853623,-1192822,-5352818,6107788,-222849
1759962673.382245,354,-2244170,-451745,-8388608,-8388608,-8388608,-8270749,-8324145
1759962673.3824518,1,6528533,658510,6520832,32768,32768,32768,32768
1759962673.382649,0,91276,-2396405,-3235456,128,128,128,128
1759962673.382843,-286688,-3145371,-5156939,-394221,-8388608,-8388608,-8388608,-8388608
1759962673.3830423,0,1,6749151,3859685,-2128149,-6583831,821929,-1667490
1759962673.3832462,0,0,92125,-1178375,1490048,128,128,129
1759962673.383445,-65536,0,360,-6407412,806778,-8388608,-8388608,-8388608
1759962673.3836517,-256,0,1,6917361,-7533612,-1212416,32768,32768
1759962673.3838446,8388607,172283,-7331600,92849,4089850,983424,128,128
1759962673.3840413,32767,-65536,0,363,-268674,-1775244,-7934917,-7738351
1759962673.3842359,-421505,-256,0,1,7134764,5568779,6914048,32768
1759962673.3844333,-8316662,8388607,0,0,93598,7416588,5016192,128
1759962673.3846242,32768,32767,-65536,0,366,-7530390,776261,-8388608
1759962673.4419093,128,127,-254,-4129888,2158593,7319867,6486560,7110656
1759962673.442136,-8388608,-8388608,8388607,0,0,7404521,8119536,-620824
1759962673.4423268,-7443325,-7538884,8388607,0,0,7462496,-3409662,-1146880
1759962673.4425275,-8255680,-8312660,8388607,0,0,7511703,-8254387,1998848
1759962673.4427214,-8388608,-8388608,8388607,0,0,7572780,-4715554,-4292608
1759962673.4428337,-8388608,-8388608,8388607,176379,-8380192,7647530,-3474894,4882432
1759962673.4429421,-8388608,-8388608,8388607,0,0,7732196,-1973001,8226526
1759962673.4430516,-7443382,-7540888,8388607,0,0,7790220,-4982534,-3112960
1759962673.4431603,-8251039,-8309351,8388607,0,0,7839420,1051723,-1736704
1759962673.443268,-8388608,-8388608,8388607,0,0,7900481,-7533597,3768320
1759962673.4433756,-8388608,-8388608,8388607,0,0,7975191,1178179,-5668864
1759962673.443485,-8388608,-8388608,8388607,168187,-8380224,8059867,7267582,6391506
1759962673.4436085,-7444207,-7543773,8388607,0,0,8117939,-198413,7766016
1759962673.443718,-8247172,-8306826,8388607,0,0,8167125,-3339187,3440640
1759962673.4438272,-8388608,-8388608,8388607,0,0,8228177,-717849,2654208
1759962673.5013034,-8388608,-8388608,8388607,0,0,8302858,-7341487,-6324224
1759962673.501414,-8388608,-8388608,8388607,164091,6299872,8387545,-5511934,6194894
1759962673.501528,-7442582,-7544629,8388607,0,0,-8331549,-329496,-6586368
1759962673.5016365,-8243134,-8303197,8388607,0,0,-8282372,5246026,7372800
1759962673.501744,-8388608,-8388608,8388607,0,0,-8221336,6228970,3178496
1759962673.5018508,-8388608,-8388608,8388607,0,0,-8146694,8321633,4161536
1759962673.501959,-8388608,-8388608,8388607,172283,-8380192,-8062000,4908297,1148610
1759962673.5020676,-7442994,-7547017,8388607,0,0,-8003839,1571042,7438336
1759962673.5021746,-8240030,-8301436,8388607,0,0,-7954672,-7205814,5537792
1759962673.5022817,-8388608,-8388608,8388607,0,0,-7893651,-3863570,-5275648
1759962673.502389,-8388608,-8388608,8388607,0,0,-7819045,6814321,-3571712
1759962673.5024977,-8388608,-8388608,8388607,164091,7348464,-7734340,-2104050,-2980164
1759962673.502606,-7444037,-7549904,8388607,0,0,-7676133,7862491,6258688
1759962673.5027142,-8236939,-8299504,8388607,0,0,-7626973,-7599030,-6324224
1759962673.502822,-8388608,-8388608,8388607,0,0,-7565970,-6550539,-229376
1759962673.5610335,-8388608,-8388608,8388607,0,0,-7491405,3537541,-1409024
1759962673.5611422,-8388608,-8388608,8388607,168187,5251280,-7406694,-3283687,-7371100
1759962673.5612545,-7448785,-7556199,8388607,0,0,-7348441,-7538472,557056
1759962673.561362,-8235599,-8299157,8388607,0,0,-7299294,-2683824,-7372800
1759962673.5614688,-8388608,-8388608,8388607,0,0,-7238307,1117185,4620288
1759962673.561576,-8388608,-8388608,8388607,0,0,-7163775,-656741,7045120
1759962673.5616832,-8388608,-8388608,8388607,176379,2105600,-7079075,910637,-4290959
1759962673.5617907,-7460439,-7569360,8388607,0,0,-7020804,3799268,4685824
1759962673.5618987,-8240713,-8305047,8388607,0,0,-6971680,-8385436,-7110656
1759962673.562005,-8388608,-8388608,8388607,0,0,-6910730,6229022,2588672
1759962673.5621111,-8388608,-8388608,8388607,0,0,-6836265,-8062261,4751360
1759962673.5622194,-8388608,-8388608,8388607,0,0,-6751597,-2693796,8095200
1759962673.5623276,-7499171,-7609732,8388607,172283,3154112,-6693297,2357507,-2523136
1759962673.5624359,-8261012,-8326694,8388607,0,0,-6644171,2952322,6717440
1759962673.5625436,-8388608,-8388608,8388607,0,0,-6583218,8260665,-7831552
1759962673.6214092,-8388608,-8388608,8388607,0,0,-6508772,-6358291,2654208
1759962673.6215224,-8388608,-8388608,8388607,0,0,-6424087,5170546,2131310
1759962673.621631,-7529816,-7641726,8388607,168187,7348432,-6365746,-3081972,-2654208
1759962673.6217387,-8274801,-8341138,8388607,0,0,-6316630,-6484846,6062080
1759962673.6218457,-8388608,-8388608,8388607,0,0,-6255690,-1242035,5603328
1759962673.6219535,-8388608,-8388608,8388607,0,0,-6181269,-6227192,-6062080
1759962673.6220608,-8388608,-8388608,8388607,0,0,-6096577,-6691450,-5995271
1759962673.6221688,-7560953,-7674011,8388607,164091,3154144,-6038198,1702165,-6127616
1759962673.622276,-8290752,-8357396,8388607,0,0,-5989092,-2224991,2129920
1759962673.622383,-8388608,-8388608,8388607,0,0,-5928165,4328543,1343488
1759962673.62249,-8388608,-8388608,8388607,0,0,-5853763,1309470,-425984
1759962673.6225975,-8388608,-8388608,8388607,0,0,-5769061,3270036,-2980718
1759962673.6227071,-7588761,-7703902,8388607,155899,5251312,-5710649,2488602,-8093696
1759962673.622816,-8304758,-8371940,8388607,0,0,-5661548,4328619,884736
1759962673.622924,-8388608,-8388608,8388607,0,0,-5600634,-1831827,5275648
1759962673.6815956,-8388608,-8388608,8388607,0,0,-5526259,2226997,-2392064
1759962673.6817052,-8388608,-8388608,8388607,0,0,-5441542,-4397663,-5536722
1759962673.6818264,-7616263,-7732611,8388607,159995,5251312,-5383103,7665951,3637248
1759962673.6819344,-8319246,-8387011,8388607,0,0,-5334008,-6288205,-3571712
1759962673.6820416,-8388608,-8388608,8388607,0,0,-5273096,7081079,8224768
1759962673.6821492,-8388608,-8388608,8388607,0,0,-5198755,6224716,1146880
1759962673.6822565,-8388608,-8388608,8388607,0,0,-5114021,-2234966,-5602353
1759962673.682367,-7642615,-7759861,8388607,159995,4202736,-5055531,-4851431,-3047424
1759962673.682474,-8330598,-8388608,8388607,0,0,-5006449,-127817,5799936
1759962673.6825807,-8388608,-8388608,8388607,0,0,-4945557,8260737,4816896
1759962673.682688,-8388608,-8388608,8388607,0,0,-4871244,3144542,-7700480
1759962673.6827955,-8388608,-8388608,8388607,0,0,-4786510,58808,5931879
1759962673.6829035,-7671102,-7789062,8388607,0,0,-4727974,5110040,-6979584
1759962673.6830115,-8343748,-8388608,8388607,172283,5251328,-4678897,-2749252,-5406720
1759962673.6831188,-8388608,-8388608,8388607,0,0,-4618013,5442697,5734400
1759962673.7419128,-8388608,-8388608,8388607,0,0,-4543713,6224746,-7045120
1759962673.742027,-8388608,-8388608,8388607,0,0,-4458972,6088127,2720534
1759962673.7421362,-7693513,-7813157,8388607,0,0,-4400410,-67305,6651904
1759962673.7422502,-8356026,-8388608,8388607,159995,7348432,-4351331,-2814786,4882432
1759962673.7423577,-8388608,-8388608,8388607,0,0,-4290460,-1635185,-4096000
1759962673.7424648,-8388608,-8388608,8388607,0,0,-4216190,1637243,-8224768
1759962673.7425728,-8388608,-8388608,8388607,0,0,-4131452,1172940,1016500
1759962673.7426803,-7720518,-7841174,8388607,0,0,-4072864,-3409637,1015808
1759962673.7427874,-8369121,-8388608,8388607,159995,5251312,-4023787,-8123197,7897088
1759962673.7428946,-8388608,-8388608,8388607,0,0,-3962922,2952342,-3637248
1759962673.743001,-8388608,-8388608,8388607,0,0,-3888687,7666573,-4620288
1759962673.7431087,-8388608,-8388608,8388607,0,0,-3803945,-1972778,8356434
1759962673.7432168,-7748148,-7869638,8388607,0,0,-3745324,-2754277,5013504
1759962673.7433248,-8383051,-8388608,8388607,168187,4202704,-3696255,-8254263,1015808
1759962673.743432,-8388608,-8388608,8388607,0,0,-3635404,-1569631,3702784
1759962673.8021834,-8388608,-8388608,8388607,0,0,-3561201,-4654173,360448
1759962673.8022926,-8388608,-8388608,8388607,0,0,-3476452,-5184029,3244527
1759962673.802401,-7777974,-7899733,8388607,0,0,-3417791,-1771237,-7503872
1759962673.802508,-8388608,-8388608,8388607,176379,6299840,-3368731,-5567281,-2523136
1759962673.8026154,-8388608,-8388608,8388607,0,0,-3307888,7670954,6062080
1759962673.8027222,-8388608,-8388608,8388607,0,0,-3233699,-1104,688128
1759962673.802829,-8388608,-8388608,8388607,0,0,-3148942,-3283478,2523536
1759962673.8029366,-7803904,-7926879,8388607,0,0,-3090253,-2885350,3768320
1759962673.8030436,-8388608,-8388608,8388607,172283,7348432,-3041209,5311702,-4358144
1759962673.8031504,-8388608,-8388608,8388607,0,0,-2980382,-5763917,-5144576
1759962673.803257,-8388608,-8388608,8388607,0,0,-2906216,-7668801,-7962624
1759962673.8033643,-8388608,-8388608,8388607,0,0,-2821458,-465419,1474851
1759962673.8034723,-7834972,-7957913,8388607,0,0,-2762739,-6883045,-7045120
1759962673.803589,-8388608,-8388608,8388607,0,0,-2713695,-4977446,-7045120
1759962673.803697,-8388608,-8388608,8388607,168187,-7331600,-2652870,4197562,2981888
1759962673.8615432,-8388608,-8388608,8388607,0,0,-2578717,2882508,294912
1759962673.861652,-8388608,-8388608,8388607,0,0,-2493954,7005693,7045321
1759962673.8617597,-7861320,-7984379,8388607,0,0,-2435202,7862553,-2326528
1759962673.8618667,-8388608,-8388608,8388607,0,0,-2386160,-4387619,-5537792
1759962673.861974,-8388608,-8388608,8388607,168187,7348448,-2325352,-3470142,-491520
1759962673.8620815,-8388608,-8388608,8388607,0,0,-2251227,3865565,3768320
1759962673.862189,-8388608,-8388608,8388607,0,0,-2166448,-8067582,8028284
1759962673.8622973,-7885039,-8008210,8388607,0,0,-2107666,7993621,-5013504
1759962673.8624048,-8388608,-8388608,8388607,0,0,-2058634,3083486,819200
1759962673.8625152,-8388608,-8388608,8388607,159995,7348416,-1997833,1838277,-7569408
1759962673.8626235,-8388608,-8388608,8388607,0,0,-1923727,6814693,4620288
1759962673.862731,-8388608,-8388608,8388607,0,0,-1838932,5826049,-8355790
1759962673.8628447,-7905910,-8030076,8388607,0,0,-1780117,-6358771,4685824
1759962673.8629525,-8388608,-8388608,8388607,0,0,-1731099,-5894945,3309568
1759962673.8630605,-8388608,-8388608,8388607,159995,5251312,-1670312,-1504053,1540096
1759962673.9213655,-8388608,-8388608,8388607,0,0,-1596220,-3277841,2916352
1759962673.9214728,-8388608,-8388608,8388607,0,0,-1511419,1566215,1802240
1759962673.9215798,-7929729,-8054044,8388607,0,0,-1452580,7731467,-229376
1759962673.921686,-8388608,-8388608,8388607,0,0,-1403565,-7271200,6389760
1759962673.9217925,-8388608,-8388608,8388607,172283,7348464,-1342778,5115083,-557056
1759962673.9218988,-8388608,-8388608,8388607,0,0,-1268694,-7406605,1146880
1759962673.9220052,-8388608,-8388608,8388607,0,0,-1183890,4580872,557056
1759962673.9221125,-7950049,-8074432,8388607,0,0,-1125043,-2623223,-7831552
1759962673.922219,-8388608,-8388608,8388607,0,0,-1076034,-5763872,-5799936
1759962673.9223258,-8388608,-8388608,8388607,172283,-6282992,-1015259,4459727,-5537792
1759962673.9224336,-8388608,-8388608,8388607,0,0,-941197,195581,4030464
1759962673.9225411,-8388608,-8388608,8388607,0,0,-856391,-2824692,-3768320
1759962673.9226487,-7975014,-8099236,8388607,0,0,-797516,-6424315,-3178496
1759962673.9227552,-8388608,-8388608,8388607,0,0,-748510,462049,2260992
1759962673.9228632,-8388608,-8388608,8388607,0,0,-687744,3476691,8224768
1759962673.981669,-8388608,-8388608,8388607,172283,-7331584,-613695,4455428,-1867776
