trial_id,start_time,end_time,label
1,1764974836.6038961,1764974837.60397,apoyo
1,1764974837.6040123,1764974838.604075,oscilacion
2,1764974838.6061487,1764974839.6062186,apoyo
2,1764974839.6062539,1764974840.6063142,oscilacion
3,1764974840.6082714,1764974841.6083398,apoyo
3,1764974841.608373,1764974842.608435,oscilacion
4,1764974842.6103477,1764974843.61042,apoyo
4,1764974843.6104643,1764974844.6105256,oscilacion
5,1764974844.612573,1764974845.6126459,apoyo
5,1764974845.612679,1764974846.6127403,oscilacion
6,1764974846.614788,1764974847.614856,apoyo
6,1764974847.6148884,1764974848.6149492,oscilacion
7,1764974848.6169353,1764974849.6170058,apoyo
7,1764974849.6170456,1764974850.6171088,oscilacion
8,1764974850.6190305,1764974851.6191084,apoyo
8,1764974851.6191447,1764974852.6192071,oscilacion
9,1764974852.6211464,1764974853.6212296,apoyo
9,1764974853.621268,1764974854.621333,oscilacion
10,1764974854.623363,1764974855.6234305,apoyo
10,1764974855.623471,1764974856.6235335,oscilacion
11,1764974856.625574,1764974857.6256409,apoyo
11,1764974857.625665,1764974858.6257265,oscilacion
12,1764974858.627659,1764974859.6277256,apoyo
12,1764974859.6277604,1764974860.6278236,oscilacion
13,1764974860.6298997,1764974861.6299708,apoyo
13,1764974861.630005,1764974862.6300688,oscilacion
14,1764974862.6320446,1764974863.6321135,apoyo
14,1764974863.632151,1764974864.6322172,oscilacion
15,1764974864.634228,1764974865.6342945,apoyo
15,1764974865.634333,1764974866.634397,oscilacion
16,1764974866.6364677,1764974867.6365416,apoyo
16,1764974867.6365705,1764974868.6366334,oscilacion
17,1764974868.6385996,1764974869.6386652,apoyo
17,1764974869.638698,1764974870.6387618,oscilacion
18,1764974870.6407325,1764974871.6408033,apoyo
18,1764974871.6408262,1764974872.6408892,oscilacion
19,1764974872.6428995,1764974873.6429667,apoyo
19,1764974873.6430113,1764974874.643078,oscilacion
20,1764974874.6450813,1764974875.645156,apoyo
20,1764974875.645191,1764974876.6452594,oscilacion
21,1764974876.6472359,1764974877.6473024,apoyo
21,1764974877.6473389,1764974878.6474018,oscilacion
22,1764974878.6495104,1764974879.6495821,apoyo
22,1764974879.649737,1764974880.6498015,oscilacion
23,1764974880.6518793,1764974881.6519442,apoyo
23,1764974881.652076,1764974882.652143,oscilacion
24,1764974882.6542673,1764974883.6543357,apoyo
24,1764974883.6544616,1764974884.6545255,oscilacion
25,1764974884.656513,1764974885.6565814,apoyo
25,1764974885.6567318,1764974886.6567936,oscilacion
26,1764974886.6589751,1764974887.6590462,apoyo
26,1764974887.6591694,1764974888.659236,oscilacion
27,1764974888.6614025,1764974889.6614707,apoyo
27,1764974889.66163,1764974890.6616924,oscilacion
28,1764974890.6637342,1764974891.6638033,apoyo
28,1764974891.6639585,1764974892.6640236,oscilacion
29,1764974892.6661012,1764974893.6661675,apoyo
29,1764974893.6662965,1764974894.6663609,oscilacion
30,1764974894.668516,1764974895.6685803,apoyo
30,1764974895.668685,1764974896.6687481,oscilacion
