timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
1763572957.0328333,-8388608,43191,-8388608,-12385,-8388608,-8388608,-8388608,-8017841
1763572957.0930655,-8388608,42466,-8388608,-11797,-8388608,-8388608,-8388608,-8019071
1763572957.0932016,-8388608,42644,-8388608,-13156,-8388608,-8388608,-8388608,-8019736
1763572957.0933301,-8388608,43485,-8388608,-13591,-8388608,-8388608,-8388608,-8019851
1763572957.093466,-8388608,43149,-8388608,-12506,-8388608,-8388608,-8388608,-8020157
1763572957.093593,-8388608,43358,-8388608,-12409,-8388608,-8388608,-8388608,-8020844
1763572957.0937178,-8388608,43057,-8388608,-12156,-8388608,-8388608,-8388608,-8021218
1763572957.093848,-8388608,43051,-8388608,-12071,-8388608,-8388608,-8388608,-8022224
1763572957.0939791,-8388608,42749,-8388608,-12060,-8388608,-8388608,-8388608,-8022568
1763572957.0941052,-8388608,42099,-8388608,-11482,-8388608,-8388608,-8388608,-8023504
1763572957.0942297,-8388608,41790,-8388608,-11696,-8388608,-8388608,-8388608,-8024161
1763572957.0943534,-8388608,43191,-8388608,-13515,-8388608,-8388608,-8388608,-8024141
1763572957.0944774,-8388608,43260,-8388608,-13186,-8388608,-8388608,-8388608,-8024818
1763572957.0946314,-8388608,43789,-8388608,-13272,-8388608,-8388608,-8388608,-8025708
1763572957.0947576,-8388608,44125,-8388608,-12946,-8388608,-8388608,-8388608,-8026162
1763572957.0948813,-8388608,44372,-8388608,-12182,-8388608,-8388608,-8388608,-8025624
1763572957.1538014,-8388608,44544,-8388608,-12581,-8388608,-8388608,-8388608,-8025221
1763572957.1539261,-8388608,43818,-8388608,-11949,-8388608,-8388608,-8388608,-8026579
1763572957.1540494,-8388608,43788,-8388608,-12232,-8388608,-8388608,-8388608,-8027829
1763572957.1541722,-8388608,44413,-8388608,-12454,-8388608,-8388608,-8388608,-8029150
1763572957.1542802,-8388608,43983,-8388608,-12487,-8388608,-8388608,-8388608,-8029292
1763572957.1543877,-8388608,43616,-8388608,-12326,-8388608,-8388608,-8388608,-8029668
1763572957.1544948,-8388608,44556,-8388608,-12229,-8388608,-8388608,-8388608,-8029744
1763572957.1546102,-8388608,44418,-8388608,-12277,-8388608,-8388608,-8388608,-8030294
1763572957.1547177,-8388608,44351,-8388608,-11626,-8388608,-8388608,-8388608,-8030297
1763572957.1548252,-8388608,44529,-8388608,-11696,-8388608,-8388608,-8388608,-8031232
1763572957.1549318,-8388608,44780,-8388608,-12735,-8388608,-8388608,-8388608,-8032520
1763572957.1550395,-8388608,45497,-8388608,-13085,-8388608,-8388608,-8388608,-8033397
1763572957.155148,-8388608,45362,-8388608,-12734,-8388608,-8388608,-8388608,-8033444
1763572957.1552558,-8388608,44661,-8388608,-11716,-8388608,-8388608,-8388608,-8033232
1763572957.155363,-8388608,44981,-8388608,-12002,-8388608,-8388608,-8388608,-8033703
1763572957.2126706,-8388608,46123,-8388608,-13054,-8388608,-8388608,-8388608,-8034200
1763572957.2127776,-8388608,45759,-8388608,-12281,-8388608,-8388608,-8388608,-8034807
1763572957.2128856,-8388608,45207,-8388608,-11757,-8388608,-8388608,-8388608,-8036241
1763572957.212993,-8388608,45239,-8388608,-11762,-8388608,-8388608,-8388608,-8036622
1763572957.2131,-8388608,45634,-8388608,-12283,-8388608,-8388608,-8388608,-8036912
1763572957.2132084,-8388608,45599,-8388608,-12810,-8388608,-8388608,-8388608,-8036819
1763572957.2133157,-8388608,45618,-8388608,-12447,-8388608,-8388608,-8388608,-8037627
