timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
1764095741.972367,7990708,-13427,7229021,-202314,7105069,-115766,7836314,8374980
1764095742.0319293,7990516,-21802,7228833,-211495,7104923,-121114,7836221,8370589
1764095742.0320628,7990156,-30245,7228476,-220701,7104616,-122821,7835969,8366013
1764095742.0321898,7990181,-20851,7228521,-212873,7104702,-111432,7836086,8361838
1764095742.0323162,7990366,-7414,7228723,-200172,7104948,-102834,7836369,8357869
1764095742.0324416,7990617,7718,7228994,-185416,7105253,-89132,7836708,8354021
1764095742.0325654,7990658,7077,7229041,-187307,7105339,-83790,7836839,8350019
1764095742.0326946,7990674,7561,7229076,-187702,7105410,-76209,7836958,8346028
1764095742.0328302,7990734,10013,7229144,-186503,7105518,-73114,7837111,8342130
1764095742.0329578,7990828,17333,7229254,-179914,7105662,-68196,7837306,8338292
1764095742.0330868,7991112,32641,7229557,-165473,7105997,-55892,7837677,8334694
1764095742.033211,7991263,31436,7229718,-167421,7106196,-53538,7837920,8331019
1764095742.0333507,7991215,28408,7229687,-171877,7106201,-50640,7837970,8327184
1764095742.0334744,7991180,28651,7229660,-173541,7106207,-50049,7838035,8323395
1764095742.0335977,7991328,36970,7229814,-165835,7106403,-45349,7838284,8319800
1764095742.0337214,7991756,51664,7230263,-152033,7106879,-33171,7838803,8316546
1764095742.092202,7991798,47919,7230322,-157062,7106965,-34434,7838943,8312959
1764095742.0923278,7991774,44164,7230306,-162239,7106985,-33654,7839017,8309315
1764095742.0924518,7991861,46722,7230403,-161336,7107116,-31097,7839201,8305819
1764095742.0925744,7991813,49416,7230370,-158417,7107117,-32627,7839263,8302221
1764095742.092683,7991883,56992,7230454,-150262,7107231,-27200,7839430,8298746
1764095742.0927913,7991943,55066,7230522,-152976,7107332,-25447,7839583,8295301
1764095742.092899,7991878,48344,7230471,-162436,7107314,-29368,7839626,8291757
1764095742.0930073,7991790,49034,7230400,-162851,7107276,-26898,7839644,8288202
1764095742.0931153,7991729,50204,7230346,-162029,7107258,-30271,7839689,8284696
1764095742.0932233,7991689,49928,7230318,-161629,7107263,-32606,7839761,8281203
1764095742.0933309,7991729,52709,7230377,-159926,7107359,-23330,7839903,8277797
1764095742.0934393,7991753,51352,7230421,-163283,7107433,-20661,7840026,8274424
1764095742.0935476,7991797,51493,7230478,-164276,7107519,-23951,7840179,8271097
1764095742.0936556,7991716,51861,7230411,-163764,7107486,-27864,7840219,8267658
1764095742.0937636,7991636,52716,7230344,-162237,7107460,-28701,7840254,8264218
1764095742.1524816,7991745,54611,7230474,-161287,7107619,-20946,7840460,8260974
1764095742.1525896,7991852,54243,7230604,-163326,7107784,-18024,7840671,8257771
1764095742.1526983,7991732,54699,7230498,-164349,7107709,-17496,7840653,8254378
1764095742.152806,7991618,55259,7230389,-164323,7107635,-22592,7840656,8251013
1764095742.1529143,7991572,59977,7230359,-159326,7107642,-20037,7840727,8247719
1764095742.153022,7991749,62002,7230563,-158406,7107876,-12437,7841003,8244674
1764095742.1531296,7991763,59198,7230599,-163060,7107943,-10034,7841126,8241506
1764095742.153237,7991925,62956,7230777,-161128,7108154,-6959,7841394,8238516
1764095742.1533446,7991869,65809,7230733,-159292,7108143,-7874,7841449,8235343
1764095742.153452,7991839,70138,7230720,-155250,7108163,-5451,7841533,8232196
1764095742.1535609,7992058,73935,7230961,-153271,7108436,3673,7841856,8229331
1764095742.1536689,7992128,68587,7231048,-160587,7108554,4193,7842038,8226361
1764095742.1537776,7992228,70912,7231170,-160526,7108706,5827,7842249,8223446
1764095742.1538863,7992268,73731,7231231,-158679,7108794,3110,7842410,8220504
1764095742.1539946,7992194,77920,7231173,-154842,7108766,3624,7842446,8217431
1764095742.212822,7992383,82382,7231387,-152701,7109009,14884,7842738,8214651
1764095742.2129304,7992367,76619,7231386,-160682,7109040,16126,7842835,8211708
1764095742.213039,7992461,77688,7231499,-161786,7109184,15659,7843041,8208896
1764095742.213147,7992410,80811,7231464,-159739,7109183,15105,7843107,8205960
