timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
1759937622.7988036,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,8180443
1759937622.7989507,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,8200814
1759937622.7990718,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,8227198
1759937622.7991877,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,8245815
1759937622.799303,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,8249048
1759937622.7994175,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,8264886
1759937622.799532,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,8314269
1759937622.7996526,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,8359636
1759937622.799769,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,8381033
1759937622.7999096,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,8368860
1759937622.800035,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,8353006
1759937622.8001542,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,8350753
1759937622.8002687,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,8337381
1759937622.800383,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,8262033
1759937622.8005073,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,8157663
1759937622.857673,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,8057002
1759937622.8578014,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,7950396
1759937622.8579254,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,7839352
1759937622.858049,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,7723920
1759937622.8581712,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,7612082
1759937622.8582788,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,7509000
1759937622.8583853,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,7442523
1759937622.858493,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,7364744
1759937622.8586,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,7320164
1759937622.8587067,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,7271361
1759937622.8588135,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,7221151
1759937622.8589203,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,7177283
1759937622.8590271,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,7135521
1759937622.859135,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,7100486
1759937622.8592424,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,7057801
1759937622.916671,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,7013224
1759937622.9167783,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,6973582
1759937622.916885,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,6935594
1759937622.9169922,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,6903676
1759937622.9170995,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,6867700
1759937622.917206,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,6825726
1759937622.9173133,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,6790986
1759937622.9174204,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,6754069
1759937622.9175274,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,6725934
1759937622.917634,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,6689491
1759937622.9177406,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,6648721
1759937622.9178486,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,6612907
