timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
1763515746.0483763,-1042219,-2412955,-388003,1050218,5565736,-188437,5213148,5747957
1763515746.0485501,-1042873,-2413079,-391013,1066708,5565178,-194433,5213202,5747948
1763515746.048685,-1046441,-2410221,-396734,1088169,5565436,-191672,5213586,5748441
1763515746.048813,-1056590,-2410267,-407712,1104433,5566603,-187566,5214696,5749531
1763515746.0489392,-1060334,-2412986,-411703,1114168,5567451,-186992,5215278,5750139
1763515746.0490637,-1066424,-2417039,-417621,1120926,5568196,-189076,5215903,5750843
1763515746.0491881,-1078318,-2417787,-428129,1130483,5569104,-192452,5216914,5752001
1763515746.0493186,-1072107,-2416693,-420309,1143834,5569578,-188459,5217169,5752433
1763515746.0494456,-1071542,-2418228,-418692,1154531,5569900,-184298,5217385,5752879
1763515746.0495734,-1074582,-2420261,-420769,1161385,5570189,-184689,5217818,5753322
1763515746.0496967,-1079941,-2423433,-424871,1165796,5570481,-187548,5218371,5753823
1763515746.0498195,-1083729,-2425456,-427204,1172471,5570689,-190301,5218884,5754358
1763515746.049944,-1083288,-2423156,-425507,1185692,5571184,-186816,5219475,5755184
1763515746.0500674,-1091884,-2423442,-432730,1196267,5572255,-183194,5220529,5756469
1763515746.0501907,-1092204,-2427164,-431417,1201646,5572995,-183886,5221036,5757031
1763515746.1078892,-1097461,-2430127,-435104,1204872,5573678,-188095,5221623,5757649
1763515746.1080213,-1098322,-2431656,-434397,1209991,5574246,-190854,5221989,5758003
1763515746.1081457,-1096580,-2430211,-431526,1221357,5575065,-186918,5222288,5758558
1763515746.10827,-1097564,-2432022,-431606,1229510,5576055,-183890,5222815,5759318
1763515746.1083918,-1101189,-2435233,-434257,1232663,5576923,-183217,5223443,5760029
1763515746.108499,-1111957,-2438316,-443497,1234343,5577858,-186084,5224355,5760939
1763515746.108606,-1108682,-2439373,-438368,1238506,5578363,-190226,5224607,5761179
1763515746.1087148,-1106429,-2437556,-434702,1249206,5579088,-186466,5224957,5761779
1763515746.108822,-1108729,-2438968,-435306,1255702,5579869,-183589,5225336,5762589
1763515746.108929,-1115759,-2442430,-439582,1258203,5580596,-184398,5225803,5763517
1763515746.1090372,-1124397,-2447506,-444820,1257803,5581356,-187001,5226329,5764413
1763515746.109144,-1131407,-2449677,-448057,1259414,5582159,-190059,5226791,5765141
1763515746.1092517,-1140264,-2447130,-452821,1267686,5583673,-186401,5227784,5766371
1763515746.1093593,-1139341,-2448388,-447389,1271211,5584792,-184404,5228113,5766707
1763515746.1094668,-1145642,-2451859,-449622,1270132,5585484,-184226,5228243,5766898
1763515746.169476,-1162906,-2455013,-462673,1265182,5586757,-185597,5229130,5767975
1763515746.1695857,-1183292,-2455875,-476530,1257696,5588905,-187006,5230934,5769873
1763515746.1696923,-1164041,-2455411,-452105,1244494,5589298,-184374,5230114,5769268
1763515746.1697996,-1164716,-2456263,-449097,1221534,5589936,-183063,5230026,5769608
1763515746.1699069,-1170487,-2459741,-451071,1193958,5590740,-185689,5230320,5770271
1763515746.1700137,-1176187,-2463166,-452837,1167346,5591545,-189196,5230548,5770650
1763515746.1701212,-1181362,-2463729,-453496,1147581,5592557,-191957,5230878,5771113
1763515746.1702404,-1189803,-2461516,-456906,1135291,5594152,-187899,5231656,5772179
1763515746.1703475,-1187405,-2462360,-449782,1118782,5595093,-185658,5231680,5772406
1763515746.170454,-1193275,-2464917,-451403,1100066,5595814,-186420,5231938,5772854
1763515746.1705604,-1200426,-2468872,-454137,1080479,5596364,-190336,5232237,5773136
