trial_id,start_time,end_time,label
1,1764974742.3835874,1764974743.383654,apoyo
1,1764974743.383681,1764974744.3837435,oscilacion
2,1764974744.3857276,1764974745.3858,apoyo
2,1764974745.385825,1764974746.3858857,oscilacion
3,1764974746.3878996,1764974747.387971,apoyo
3,1764974747.3880115,1764974748.3880723,oscilacion
4,1764974748.3900197,1764974749.390084,apoyo
4,1764974749.3901093,1764974750.3901694,oscilacion
5,1764974750.3921394,1764974751.3922062,apoyo
5,1764974751.3922384,1764974752.3922982,oscilacion
6,1764974752.3944325,1764974753.39451,apoyo
6,1764974753.3945417,1764974754.3946056,oscilacion
7,1764974754.3965907,1764974755.3966572,apoyo
7,1764974755.3966904,1764974756.396751,oscilacion
8,1764974756.3987231,1764974757.3987885,apoyo
8,1764974757.3988135,1764974758.398874,oscilacion
9,1764974758.400836,1764974759.4009037,apoyo
9,1764974759.4009418,1764974760.4010122,oscilacion
10,1764974760.4030266,1764974761.4030933,apoyo
10,1764974761.403128,1764974762.4031923,oscilacion
11,1764974762.4052029,1764974763.4052699,apoyo
11,1764974763.4053044,1764974764.405369,oscilacion
12,1764974764.4073288,1764974765.407396,apoyo
12,1764974765.407438,1764974766.4075034,oscilacion
13,1764974766.409591,1764974767.4096613,apoyo
13,1764974767.409687,1764974768.40975,oscilacion
14,1764974768.4117396,1764974769.4118068,apoyo
14,1764974769.4118433,1764974770.4119048,oscilacion
15,1764974770.4138403,1764974771.4139082,apoyo
15,1764974771.4139435,1764974772.4140089,oscilacion
16,1764974772.416028,1764974773.4160948,apoyo
16,1764974773.4161267,1764974774.4161963,oscilacion
17,1764974774.4182382,1764974775.4183042,apoyo
17,1764974775.4183366,1764974776.4183972,oscilacion
18,1764974776.4203062,1764974777.4203768,apoyo
18,1764974777.4204178,1764974778.4204807,oscilacion
19,1764974778.422539,1764974779.4226043,apoyo
19,1764974779.422629,1764974780.4226916,oscilacion
20,1764974780.4246645,1764974781.424738,apoyo
20,1764974781.4247644,1764974782.4248264,oscilacion
21,1764974782.4267445,1764974783.426818,apoyo
21,1764974783.426861,1764974784.4269345,oscilacion
22,1764974784.4289958,1764974785.4290614,apoyo
22,1764974785.4290965,1764974786.429162,oscilacion
23,1764974786.4311552,1764974787.4312239,apoyo
23,1764974787.4312487,1764974788.4313126,oscilacion
24,1764974788.4333284,1764974789.4333973,apoyo
24,1764974789.433439,1764974790.4335005,oscilacion
25,1764974790.4355094,1764974791.4355836,apoyo
25,1764974791.4356039,1764974792.4356658,oscilacion
26,1764974792.4378302,1764974793.4378963,apoyo
26,1764974793.437928,1764974794.4379907,oscilacion
27,1764974794.4399374,1764974795.4400046,apoyo
27,1764974795.440033,1764974796.4400978,oscilacion
28,1764974796.4421315,1764974797.4421983,apoyo
28,1764974797.4422302,1764974798.4422932,oscilacion
29,1764974798.4443603,1764974799.4444263,apoyo
29,1764974799.4444592,1764974800.4445212,oscilacion
30,1764974800.446573,1764974801.4466422,apoyo
30,1764974801.4466832,1764974802.446747,oscilacion
