trial_id,start_time,end_time,label
1,1763515747.8925486,1763515749.8926113,apoyo
1,1763515749.8927577,1763515751.8928242,oscilacion
2,1763515753.895118,1763515755.895181,apoyo
2,1763515755.8953247,1763515757.8953915,oscilacion
3,1763515759.8977766,1763515761.8978395,apoyo
3,1763515761.8978617,1763515763.8979304,oscilacion
4,1763515765.9000232,1763515767.9000838,apoyo
4,1763515767.9001153,1763515769.900178,oscilacion
5,1763515771.9023793,1763515773.9024403,apoyo
5,1763515773.9024599,1763515775.9025273,oscilacion
