trial_id,start_time,end_time,label
1,1764861750.4681268,1764861751.4681997,apoyo
1,1764861751.468306,1764861752.4683685,oscilacion
2,1764861752.4703672,1764861753.4704363,apoyo
2,1764861753.4705496,1764861754.4706116,oscilacion
3,1764861754.4727688,1764861755.4728456,apoyo
3,1764861755.4729705,1764861756.4730313,oscilacion
4,1764861756.4751115,1764861757.4751759,apoyo
4,1764861757.4752874,1764861758.4753542,oscilacion
5,1764861758.477402,1764861759.4774697,apoyo
5,1764861759.477585,1764861760.4776506,oscilacion
6,1764861760.4798005,1764861761.479872,apoyo
6,1764861761.4798954,1764861762.479957,oscilacion
7,1764861762.4819949,1764861763.4820604,apoyo
7,1764861763.4821675,1764861764.4822283,oscilacion
8,1764861764.4842935,1764861765.4843602,apoyo
8,1764861765.4844673,1764861766.4845338,oscilacion
9,1764861766.4865685,1764861767.4866326,apoyo
9,1764861767.4867408,1764861768.486803,oscilacion
10,1764861768.4888842,1764861769.4889505,apoyo
10,1764861769.4890711,1764861770.4891312,oscilacion
11,1764861770.4911442,1764861771.4912088,apoyo
11,1764861771.4913306,1764861772.4913948,oscilacion
12,1764861772.4935834,1764861773.4936478,apoyo
12,1764861773.493766,1764861774.4938304,oscilacion
13,1764861774.4958422,1764861775.495912,apoyo
13,1764861775.4960346,1764861776.4961028,oscilacion
14,1764861776.4981947,1764861777.4982605,apoyo
14,1764861777.498385,1764861778.4984596,oscilacion
15,1764861778.500706,1764861779.5007713,apoyo
15,1764861779.5009007,1764861780.5009637,oscilacion
16,1764861780.50299,1764861781.5030625,apoyo
16,1764861781.5032132,1764861782.5032768,oscilacion
17,1764861782.5053728,1764861783.5054457,apoyo
17,1764861783.5054717,1764861784.505537,oscilacion
18,1764861784.5077498,1764861785.5078146,apoyo
18,1764861785.5079415,1764861786.5080051,oscilacion
19,1764861786.5100093,1764861787.5100758,apoyo
19,1764861787.51019,1764861788.5102544,oscilacion
20,1764861788.5122592,1764861789.5123243,apoyo
20,1764861789.5124452,1764861790.5125124,oscilacion
21,1764861790.5145223,1764861791.5145872,apoyo
21,1764861791.5146997,1764861792.514767,oscilacion
22,1764861792.5168417,1764861793.5169075,apoyo
22,1764861793.51701,1764861794.5170722,oscilacion
23,1764861794.5192246,1764861795.5192888,apoyo
23,1764861795.5193872,1764861796.5194485,oscilacion
24,1764861796.5214446,1764861797.521509,apoyo
24,1764861797.521627,1764861798.5216882,oscilacion
25,1764861798.5238311,1764861799.5239027,apoyo
25,1764861799.5240316,1764861800.5240967,oscilacion
26,1764861800.5262234,1764861801.5262887,apoyo
26,1764861801.5263913,1764861802.5264645,oscilacion
27,1764861802.5285769,1764861803.528642,apoyo
27,1764861803.5287552,1764861804.5288172,oscilacion
28,1764861804.5308404,1764861805.530906,apoyo
28,1764861805.5310113,1764861806.5310736,oscilacion
29,1764861806.5331311,1764861807.5332017,apoyo
29,1764861807.5333097,1764861808.533372,oscilacion
30,1764861808.5353572,1764861809.5354223,apoyo
30,1764861809.5355546,1764861810.535623,oscilacion
