trial_id,start_time,end_time,label
1,1764861597.3683348,1764861598.3684042,apoyo
1,1764861598.3685434,1764861599.368608,oscilacion
2,1764861599.3706994,1764861600.370767,apoyo
2,1764861600.3709428,1764861601.3710043,oscilacion
3,1764861601.3729968,1764861602.3730645,apoyo
3,1764861602.3731833,1764861603.3732467,oscilacion
4,1764861603.3753726,1764861604.3754413,apoyo
4,1764861604.3755906,1764861605.3756616,oscilacion
5,1764861605.3776267,1764861606.3776915,apoyo
5,1764861606.377713,1764861607.3777733,oscilacion
6,1764861607.379797,1764861608.3798668,apoyo
6,1764861608.3798895,1764861609.3799505,oscilacion
7,1764861609.3819559,1764861610.3820207,apoyo
7,1764861610.3820426,1764861611.382108,oscilacion
8,1764861611.384151,1764861612.3842175,apoyo
8,1764861612.3842413,1764861613.384303,oscilacion
9,1764861613.3862846,1764861614.3863559,apoyo
9,1764861614.386382,1764861615.386444,oscilacion
10,1764861615.3884284,1764861616.3884974,apoyo
10,1764861616.3885267,1764861617.3885925,oscilacion
11,1764861617.3906837,1764861618.390749,apoyo
11,1764861618.390774,1764861619.3908355,oscilacion
12,1764861619.392791,1764861620.3928773,apoyo
12,1764861620.3928998,1764861621.3929608,oscilacion
13,1764861621.3949337,1764861622.3950005,apoyo
13,1764861622.3950288,1764861623.3950946,oscilacion
14,1764861623.3971398,1764861624.3972058,apoyo
14,1764861624.3972287,1764861625.397291,oscilacion
15,1764861625.3992457,1764861626.3993108,apoyo
15,1764861626.3993325,1764861627.3993943,oscilacion
16,1764861627.4013596,1764861628.401426,apoyo
16,1764861628.4014523,1764861629.4015162,oscilacion
17,1764861629.4035609,1764861630.4036305,apoyo
17,1764861630.4036567,1764861631.4037213,oscilacion
18,1764861631.4056666,1764861632.4057329,apoyo
18,1764861632.4057572,1764861633.4058177,oscilacion
19,1764861633.4077027,1764861634.4077685,apoyo
19,1764861634.407799,1764861635.4078624,oscilacion
20,1764861635.4098003,1764861636.40987,apoyo
20,1764861636.4098964,1764861637.4099593,oscilacion
21,1764861637.4118772,1764861638.4119415,apoyo
21,1764861638.4119704,1764861639.4120414,oscilacion
22,1764861639.4140055,1764861640.4140728,apoyo
22,1764861640.414113,1764861641.4141746,oscilacion
23,1764861641.4162023,1764861642.416268,apoyo
23,1764861642.4163032,1764861643.4163725,oscilacion
24,1764861643.4183187,1764861644.4183853,apoyo
24,1764861644.4184184,1764861645.4184835,oscilacion
25,1764861645.420579,1764861646.4206467,apoyo
25,1764861646.420689,1764861647.4207542,oscilacion
26,1764861647.4227774,1764861648.4228466,apoyo
26,1764861648.4228826,1764861649.4229562,oscilacion
27,1764861649.425018,1764861650.425083,apoyo
27,1764861650.4251153,1764861651.4251788,oscilacion
28,1764861651.4271927,1764861652.4272597,apoyo
28,1764861652.4272969,1764861653.4273617,oscilacion
29,1764861653.429371,1764861654.4294345,apoyo
29,1764861654.4294684,1764861655.4295328,oscilacion
30,1764861655.4314864,1764861656.4315517,apoyo
30,1764861656.4315822,1764861657.4316523,oscilacion
