timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
1760126456.1296058,-8388608,-619290,-8388608,-8388608,-8388608,-8388608,-8388608,8388607
1760126456.1297593,-8388608,-672904,-8388608,-8388608,-8388608,-8388608,-8388608,8388607
1760126456.1298819,-8388608,-307195,-8388608,-8388608,-8388608,-8388608,-8388608,8388607
1760126456.13,-8388608,-180164,-8388608,-8388608,-8388608,-8388608,-8388608,8388607
1760126456.1301172,-8388608,-296846,-8388608,-8388608,-8388608,-8388608,-8388608,8388607
1760126456.1302335,-8388608,-620638,-8388608,-8388608,-8388608,-8388608,-8388608,8388607
1760126456.1303668,-8388608,-670471,-8388608,-8388608,-8388608,-8388608,-8388608,8388607
1760126456.1304953,-8388608,-305107,-8388608,-8388608,-8388608,-8388608,-8388608,8388607
1760126456.130614,-8388608,-180400,-8388608,-8388608,-8388608,-8388608,-8388608,8388607
1760126456.1307347,-8388608,-298341,-8388608,-8388608,-8388608,-8388608,-8388608,8388607
1760126456.1308506,-8388608,-623225,-8388608,-8388608,-8388608,-8388608,-8388608,8388607
1760126456.1309664,-8388608,-669461,-8388608,-8388608,-8388608,-8388608,-8388608,8388607
1760126456.1310823,-8388608,-303339,-8388608,-8388608,-8388608,-8388608,-8388608,8388607
1760126456.131197,-8388608,-180491,-8388608,-8388608,-8388608,-8388608,-8388608,8388607
1760126456.1313117,-8388608,-299952,-8388608,-8388608,-8388608,-8388608,-8388608,8388607
1760126456.1897705,-8388608,-625319,-8388608,-8388608,-8388608,-8388608,-8388608,8388607
1760126456.1898992,-8388608,-667333,-8388608,-8388608,-8388608,-8388608,-8388608,8388607
1760126456.190024,-8388608,-300460,-8388608,-8388608,-8388608,-8388608,-8388608,8388607
1760126456.1901493,-8388608,-180208,-8388608,-8388608,-8388608,-8388608,-8388608,8388607
1760126456.190273,-8388608,-301967,-8388608,-8388608,-8388608,-8388608,-8388608,8388607
1760126456.1903906,-8388608,-627980,-8388608,-8388608,-8388608,-8388608,-8388608,8388607
1760126456.1904995,-8388608,-665413,-8388608,-8388608,-8388608,-8388608,-8388608,8388607
1760126456.1906078,-8388608,-298489,-8388608,-8388608,-8388608,-8388608,-8388608,8388607
1760126456.190717,-8388608,-180936,-8388608,-8388608,-8388608,-8388608,-8388608,8388607
1760126456.190825,-8388608,-304202,-8388608,-8388608,-8388608,-8388608,-8388608,8388607
1760126456.1909328,-8388608,-630282,-8388608,-8388608,-8388608,-8388608,-8388608,8388607
1760126456.1910415,-8388608,-662932,-8388608,-8388608,-8388608,-8388608,-8388608,8388607
1760126456.1911502,-8388608,-296367,-8388608,-8388608,-8388608,-8388608,-8388608,8388607
1760126456.1912591,-8388608,-181298,-8388608,-8388608,-8388608,-8388608,-8388608,8388607
1760126456.1913674,-8388608,-305665,-8388608,-8388608,-8388608,-8388608,-8388608,8388607
1760126456.2515025,-8388608,-632589,-8388608,-8388608,-8388608,-8388608,-8388608,8388607
1760126456.2516124,-8388608,-661110,-8388608,-8388608,-8388608,-8388608,-8388608,8388607
1760126456.2517214,-8388608,-294374,-8388608,-8388608,-8388608,-8388608,-8388608,8388607
1760126456.2518303,-8388608,-181352,-8388608,-8388608,-8388608,-8388608,-8388608,8388607
1760126456.2519433,-8388608,-307344,-8388608,-8388608,-8388608,-8388608,-8388608,8388607
1760126456.2520518,-8388608,-635367,-8388608,-8388608,-8388608,-8388608,-8388608,8388607
1760126456.2521608,-8388608,-659381,-8388608,-8388608,-8388608,-8388608,-8388608,8388607
1760126456.252269,-8388608,-291743,-8388608,-8388608,-8388608,-8388608,-8388608,8388607
1760126456.2523773,-8388608,-181315,-8388608,-8388608,-8388608,-8388608,-8388608,8388607
1760126456.2524846,-8388608,-309371,-8388608,-8388608,-8388608,-8388608,-8388608,8388607
1760126456.2526019,-8388608,-637402,-8388608,-8388608,-8388608,-8388608,-8388608,8388607
1760126456.2527118,-8388608,-656730,-8388608,-8388608,-8388608,-8388608,-8388608,8388607
1760126456.25282,-8388608,-289368,-8388608,-8388608,-8388608,-8388608,-8388608,8388607
1760126456.2529292,-8388608,-181860,-8388608,-8388608,-8388608,-8388608,-8388608,8388607
1760126456.2530382,-8388608,-311626,-8388608,-8388608,-8388608,-8388608,-8388608,8388607
1760126456.3104224,-8388608,-639799,-8388608,-8388608,-8388608,-8388608,-8388608,8388607
1760126456.3105311,-8388608,-654703,-8388608,-8388608,-8388608,-8388608,-8388608,8388607
1760126456.3106394,-8388608,-287220,-8388608,-8388608,-8388608,-8388608,-8388608,8388607
1760126456.3107479,-8388608,-182079,-8388608,-8388608,-8388608,-8388608,-8388608,8388607
