timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
1763515837.9297247,2673009,-220467,1437413,-147016,7173873,-343177,3608634,7109607
1763515837.9298856,2670118,-221821,1438081,-148998,7188491,-344823,3608178,7108211
1763515837.9300096,2666494,-222710,1437531,-152042,7201926,-349871,3606766,7104330
1763515837.9301279,2664676,-221454,1438418,-150482,7216709,-350794,3606700,7100366
1763515837.9302452,2663949,-219986,1440003,-146269,7232349,-345826,3606815,7094639
1763515837.930361,2663329,-220162,1441401,-146462,7247615,-344171,3606445,7089689
1763515837.9304771,2662656,-221476,1442502,-148560,7262401,-345631,3605796,7088459
1763515837.9305975,2662127,-222181,1443968,-151182,7277299,-351721,3605311,7089549
1763515837.9307163,2662468,-221317,1446561,-150378,7293147,-351576,3605195,7092213
1763515837.9308364,2661970,-219769,1448729,-146017,7308311,-346103,3604303,7097867
1763515837.9309516,2660342,-220094,1450573,-145987,7322998,-344138,3603135,7105438
1763515837.9310656,2656334,-221226,1450588,-147956,7335967,-345422,3601436,7111228
1763515837.931181,2652236,-221621,1450735,-150727,7349093,-350918,3600598,7112924
1763515837.931295,2647018,-220276,1449935,-149014,7361076,-351562,3598884,7111978
1763515837.9314086,2642968,-218886,1450919,-144282,7374526,-346046,3598624,7117367
1763515837.9899328,2637716,-218939,1450680,-144006,7386940,-343758,3597521,7126274
1763515837.9900618,2632609,-220135,1450211,-146507,7399368,-345934,3596962,7133573
1763515837.9901865,2629382,-222144,1451501,-150570,7413184,-349786,3597379,7138409
1763515837.9903104,2626045,-221220,1452883,-149018,7426494,-350157,3596858,7138954
1763515837.990434,2622369,-218984,1454474,-144271,7439056,-345575,3595894,7136005
1763515837.9905438,2617553,-219500,1455304,-144316,7449921,-343601,3594137,7130411
1763515837.9906628,2613014,-221116,1456876,-146521,7460808,-344731,3592978,7123724
1763515837.9907718,2608870,-221923,1458726,-149546,7471416,-350086,3592238,7118501
1763515837.99088,2606413,-220532,1461923,-147889,7482846,-350893,3592283,7120909
1763515837.9909883,2603994,-219106,1464921,-143609,7493955,-345402,3592141,7129619
1763515837.9910965,2601476,-220084,1467256,-143822,7504728,-343301,3592034,7140866
1763515837.9912043,2600588,-221332,1469993,-145424,7516263,-346167,3592688,7150684
1763515837.9913123,2599622,-221847,1471462,-148121,7526494,-352686,3591728,7153710
1763515837.9914215,2601371,-221282,1474781,-148041,7538536,-352086,3592350,7158993
1763515837.99153,2605741,-220634,1479923,-144752,7552639,-345718,3593496,7170876
1763515838.0502064,2609386,-220742,1483238,-144270,7565245,-345788,3593035,7175555
1763515838.0503154,2614032,-222157,1485935,-146406,7577531,-348242,3592339,7175321
1763515838.0504224,2621048,-223252,1489490,-149786,7590697,-354093,3592776,7178594
1763515838.0505314,2633429,-222604,1496671,-148882,7607630,-354861,3595280,7185585
1763515838.0506399,2647404,-221848,1505112,-145437,7625706,-349491,3595622,7195741
1763515838.050747,2656196,-222414,1509231,-145379,7639341,-348345,3592776,7213416
1763515838.050855,2664481,-223790,1512946,-147606,7652738,-350519,3592156,7241068
1763515838.0509622,2674574,-224662,1518011,-150962,7667746,-356317,3592776,7267326
1763515838.0510764,2685193,-223575,1522929,-149586,7683022,-356877,3593550,7290081
1763515838.0511842,2699228,-221986,1530353,-145141,7700883,-352756,3595611,7313228
1763515838.051292,2712252,-223524,1536025,-145983,7717303,-351696,3595798,7328873
1763515838.0514007,2724041,-226095,1539658,-149426,7731819,-353660,3594726,7336117
1763515838.0515082,2737596,-227769,1544582,-153064,7747498,-358862,3595696,7346221
1763515838.0516167,2755045,-227312,1551248,-152330,7765388,-359249,3597433,7356315
1763515838.051739,2775091,-226025,1559600,-148214,7784688,-355862,3598044,7365929
1763515838.109564,2792973,-227367,1566023,-149033,7801979,-354769,3596826,7376770
1763515838.1096735,2807419,-228811,1569791,-151087,7816652,-356861,3594529,7383488
1763515838.1097815,2818750,-229746,1571244,-154241,7829084,-361977,3592544,7386968
1763515838.1098895,2832647,-228929,1575190,-153164,7844434,-362481,3593532,7394561
1763515838.1099973,2850663,-227833,1582772,-149191,7863994,-358639,3596563,7421654
1763515838.1101046,2868710,-229442,1590087,-150349,7883701,-357449,3597964,7454119
1763515838.110212,2884747,-231191,1595297,-152959,7901523,-359852,3597629,7477984
1763515838.11032,2898882,-232259,1598834,-156380,7917686,-365916,3596479,7496468
1763515838.1104283,2912666,-231379,1602463,-155041,7933863,-366232,3595681,7511022
1763515838.1105359,2925831,-229866,1606297,-150961,7950066,-361554,3594676,7523808
1763515838.1106434,2937377,-231023,1609235,-151204,7965250,-360175,3593733,7536409
1763515838.110751,2946937,-232239,1610358,-153123,7978605,-363119,3592400,7541603
1763515838.1108587,2956134,-233331,1611087,-156712,7991443,-368574,3590933,7540209
1763515838.1109667,2966866,-232664,1613603,-155849,8006083,-367899,3590578,7540223
1763515838.1110752,2978246,-231480,1617139,-151782,8021743,-363084,3590366,7543621
1763515838.1693614,2987702,-232742,1619234,-152487,8035749,-361541,3589045,7546769
1763515838.1694808,2996761,-234465,1621199,-154612,8049698,-363926,3588082,7550334
1763515838.1695898,3005844,-234952,1623342,-157550,8063723,-370351,3587593,7552639
1763515838.169698,3015464,-233993,1625986,-156239,8078052,-369484,3587770,7553647
1763515838.1698062,3026849,-233279,1629262,-152429,8093356,-364756,3588788,7554742
1763515838.1699157,3039457,-234559,1632309,-153001,8108569,-364413,3588879,7553548
1763515838.1700237,3052801,-235583,1635182,-155275,8123439,-367069,3587919,7549698
1763515838.170138,3064676,-237090,1636598,-158849,8136584,-372526,3586134,7544239
1763515838.1702468,3079116,-236734,1640893,-157631,8152379,-372502,3587366,7543210
1763515838.170357,3095076,-235605,1646690,-153648,8169803,-367987,3588413,7545231
1763515838.1704652,3108466,-236456,1649968,-153909,8184771,-367327,3587375,7546110
1763515838.1705732,3120430,-237887,1651757,-156074,8198458,-369902,3586359,7546836
1763515838.170683,3133125,-238917,1654231,-159570,8212754,-375473,3586114,7550572
1763515838.1707911,3144563,-237951,1655543,-158321,8225839,-374932,3584966,7559500
1763515838.1708999,3158009,-236892,1659206,-154453,8241468,-370187,3585699,7566050
1763515838.231119,3169736,-237922,1661526,-154952,8256076,-369169,3584891,7563234
1763515838.2312284,3180718,-239397,1663423,-157277,8270266,-371874,3584112,7555610
1763515838.2313373,3189958,-240040,1663703,-160730,8282568,-377095,3582747,7545935
1763515838.2314456,3196151,-238587,1661315,-158917,8291783,-376442,3579801,7531269
1763515838.2315538,3203438,-236670,1660798,-154654,8302233,-372050,3579111,7504601
1763515838.2316728,3211406,-237634,1661336,-154663,8313614,-370707,3578931,7479406
1763515838.2317815,3219635,-239531,1662140,-157252,8325298,-372364,3578958,7461505
1763515838.2318885,3229141,-240452,1664188,-160871,8338216,-377827,3579481,7448421
1763515838.2320008,3239269,-239310,1667094,-159222,8352187,-377456,3579715,7439006
1763515838.2321088,3248098,-237992,1669103,-155127,8365604,-372602,3579574,7433806
1763515838.2322173,3255274,-238514,1669467,-154852,8377794,-372256,3578126,7428733
1763515838.232325,3262728,-240516,1670737,-157495,8388607,-373958,3577766,7424944
1763515838.232434,3268701,-241643,1671295,-161646,8388607,-378155,3576923,7420931
1763515838.2325428,3276733,-240285,1673667,-159584,8388607,-378106,3578655,7422146
1763515838.2326512,3288078,-239131,1678119,-155332,8388607,-374048,3580368,7425426
1763515838.2899642,3300276,-240297,1682453,-155926,8388607,-373353,3580494,7426266
1763515838.2900732,3310174,-241660,1684122,-158177,8388607,-375876,3578606,7422880
1763515838.2901816,3319791,-242684,1685769,-161653,8388607,-380744,3577367,7417988
1763515838.2902942,3329894,-241635,1688567,-159759,8388607,-380076,3577086,7413795
1763515838.2904062,3340003,-240785,1691423,-155905,8388607,-375137,3577112,7410318
1763515838.2905147,3349073,-241540,1693007,-156054,8388607,-374947,3576496,7406651
1763515838.2906222,3357867,-243039,1694006,-158463,8388607,-377150,3575943,7402176
1763515838.2907298,3366303,-243849,1694842,-161784,8388607,-382307,3575629,7396819
1763515838.2908373,3376981,-242968,1698065,-159939,8388607,-381204,3576903,7394173
1763515838.2909448,3387031,-241979,1700414,-155739,8388607,-376203,3576943,7391808
1763515838.2910538,3396512,-242596,1702306,-156387,8388607,-375683,3576314,7389469
1763515838.291163,3406133,-244577,1704516,-159502,8388607,-376820,3576377,7389313
1763515838.291272,3415462,-246197,1705859,-163062,8388607,-381676,3576044,7388565
1763515838.291381,3426298,-244984,1708428,-161063,8388607,-380984,3576175,7388712
1763515838.2914898,3435836,-243979,1710093,-157023,8388607,-375858,3575264,7389812
1763515838.3501809,3445732,-244919,1712044,-157408,8388607,-375022,3575139,7393668
1763515838.3502898,3454728,-246155,1712925,-160172,8388607,-377553,3574171,7396444
1763515838.3503983,3462719,-246749,1713061,-163502,8388607,-382690,3572981,7397155
1763515838.3505068,3472888,-246811,1715417,-162308,8388607,-380447,3573882,7401343
1763515838.3506153,3485776,-246047,1720546,-158482,8388607,-375781,3575988,7412694
1763515838.350723,3497766,-246793,1724868,-158556,8388607,-376066,3576303,7429875
1763515838.3508313,3508164,-248101,1727604,-161408,8388607,-378624,3575903,7454581
1763515838.350939,3518399,-248747,1729931,-164862,8388607,-383873,3575499,7475716
1763515838.3510478,3527793,-248229,1731363,-162656,8388607,-382764,3574645,7492467
1763515838.3511562,3538410,-247672,1734109,-159077,8388607,-377635,3575043,7511090
1763515838.3512647,3549637,-248502,1737163,-159546,8388607,-377592,3575087,7528468
1763515838.351373,3559003,-250056,1738040,-162068,8388607,-380050,3573882,7540924
1763515838.3514822,3569954,-250907,1740534,-165444,8388607,-385412,3574169,7554571
1763515838.3515909,3582307,-250061,1744346,-163446,8388607,-384510,3575093,7569563
1763515838.351712,3593793,-248897,1746956,-159356,8388607,-380360,3574915,7581394
1763515838.4104488,3606063,-250193,1749890,-160426,8388607,-379926,3574909,7591369
