trial_id,start_time,end_time,label
1,1764861884.522043,1764861885.5221117,apoyo
1,1764861885.522231,1764861886.522295,oscilacion
2,1764861886.5242572,1764861887.524325,apoyo
2,1764861887.5244613,1764861888.5245235,oscilacion
3,1764861888.5266056,1764861889.5266714,apoyo
3,1764861889.526808,1764861890.5268736,oscilacion
4,1764861890.528963,1764861891.529029,apoyo
4,1764861891.5291522,1764861892.529216,oscilacion
5,1764861892.5311859,1764861893.531254,apoyo
5,1764861893.5313838,1764861894.531445,oscilacion
6,1764861894.533511,1764861895.5335817,apoyo
6,1764861895.5337217,1764861896.5337884,oscilacion
7,1764861896.5358958,1764861897.5359628,apoyo
7,1764861897.5360892,1764861898.5361578,oscilacion
8,1764861898.5382977,1764861899.5383658,apoyo
8,1764861899.5385103,1764861900.5385766,oscilacion
9,1764861900.5406559,1764861901.5407238,apoyo
9,1764861901.540754,1764861902.5408187,oscilacion
10,1764861902.5427763,1764861903.5428412,apoyo
10,1764861903.5429704,1764861904.5430462,oscilacion
11,1764861904.545157,1764861905.545225,apoyo
11,1764861905.545377,1764861906.545439,oscilacion
12,1764861906.547411,1764861907.5474744,apoyo
12,1764861907.5476177,1764861908.5476801,oscilacion
13,1764861908.5497022,1764861909.5497656,apoyo
13,1764861909.5497878,1764861910.5498488,oscilacion
14,1764861910.5518124,1764861911.5518763,apoyo
14,1764861911.5519025,1764861912.5519614,oscilacion
15,1764861912.5538526,1764861913.553922,apoyo
15,1764861913.5539432,1764861914.554004,oscilacion
16,1764861914.5559065,1764861915.5559685,apoyo
16,1764861915.5559895,1764861916.5560513,oscilacion
17,1764861916.558005,1764861917.5580692,apoyo
17,1764861917.5580966,1764861918.5581572,oscilacion
18,1764861918.5600824,1764861919.5601459,apoyo
18,1764861919.5601633,1764861920.5602243,oscilacion
19,1764861920.5621858,1764861921.5622537,apoyo
19,1764861921.5622745,1764861922.5623376,oscilacion
20,1764861922.5644186,1764861923.564481,apoyo
20,1764861923.564504,1764861924.5645633,oscilacion
21,1764861924.5664876,1764861925.5665529,apoyo
21,1764861925.5665872,1764861926.5666482,oscilacion
22,1764861926.5686183,1764861927.5686796,apoyo
22,1764861927.5686994,1764861928.568762,oscilacion
23,1764861928.5707877,1764861929.5708504,apoyo
23,1764861929.5709708,1764861930.5710382,oscilacion
24,1764861930.5731032,1764861931.5731697,apoyo
24,1764861931.573275,1764861932.5733383,oscilacion
25,1764861932.5753264,1764861933.5753922,apoyo
25,1764861933.5755296,1764861934.575593,oscilacion
26,1764861934.577708,1764861935.577774,apoyo
26,1764861935.577898,1764861936.577959,oscilacion
27,1764861936.5799773,1764861937.580043,apoyo
27,1764861937.5801733,1764861938.5802577,oscilacion
28,1764861938.5823696,1764861939.582432,apoyo
28,1764861939.5825374,1764861940.5826025,oscilacion
29,1764861940.584623,1764861941.5846944,apoyo
29,1764861941.584809,1764861942.5848706,oscilacion
30,1764861942.5868094,1764861943.5868719,apoyo
30,1764861943.5869787,1764861944.5870414,oscilacion
