trial_id,start_time,end_time,label
1,1764859212.9826097,1764859213.9826772,apoyo
1,1764859213.9827902,1764859214.9828525,oscilacion
2,1764859214.9848845,1764859215.9850552,apoyo
2,1764859215.9850838,1764859216.9851508,oscilacion
3,1764859216.9871628,1764859217.9872315,apoyo
3,1764859217.987361,1764859218.9874687,oscilacion
4,1764859218.989494,1764859219.989562,apoyo
4,1764859219.9896684,1764859220.9897292,oscilacion
5,1764859220.9918242,1764859221.9918935,apoyo
5,1764859221.9919183,1764859222.9919815,oscilacion
6,1764859222.994011,1764859223.9940796,apoyo
6,1764859223.9941773,1764859224.994237,oscilacion
7,1764859224.9961758,1764859225.9962432,apoyo
7,1764859225.9963217,1764859226.996384,oscilacion
8,1764859226.998322,1764859227.9983943,apoyo
8,1764859227.9985363,1764859228.9986007,oscilacion
9,1764859229.0008047,1764859230.000871,apoyo
9,1764859230.000968,1764859231.0010297,oscilacion
10,1764859231.0030618,1764859232.003138,apoyo
10,1764859232.0031612,1764859233.0032265,oscilacion
11,1764859233.0052836,1764859234.0053556,apoyo
11,1764859234.0054958,1764859235.0055583,oscilacion
12,1764859235.007638,1764859236.007704,apoyo
12,1764859236.007809,1764859237.00787,oscilacion
13,1764859237.0098948,1764859238.0099626,apoyo
13,1764859238.0100844,1764859239.010146,oscilacion
14,1764859239.0121272,1764859240.0121982,apoyo
14,1764859240.0123608,1764859241.0124266,oscilacion
15,1764859241.014461,1764859242.0145276,apoyo
15,1764859242.0146484,1764859243.0147114,oscilacion
16,1764859243.0167015,1764859244.0167685,apoyo
16,1764859244.016895,1764859245.0169575,oscilacion
17,1764859245.0190003,1764859246.019069,apoyo
17,1764859246.0192237,1764859247.0192883,oscilacion
18,1764859247.0214834,1764859248.0215564,apoyo
18,1764859248.0216846,1764859249.0217514,oscilacion
19,1764859249.0238607,1764859250.0239303,apoyo
19,1764859250.0240624,1764859251.0241277,oscilacion
20,1764859251.0261467,1764859252.0262132,apoyo
20,1764859252.0263793,1764859253.0264535,oscilacion
21,1764859253.028583,1764859254.0286603,apoyo
21,1764859254.0287929,1764859255.0288584,oscilacion
22,1764859255.0309284,1764859256.030994,apoyo
22,1764859256.0310187,1764859257.0310802,oscilacion
23,1764859257.033055,1764859258.0331278,apoyo
23,1764859258.0331576,1764859259.0332208,oscilacion
24,1764859259.035278,1764859260.035347,apoyo
24,1764859260.0354552,1764859261.0355303,oscilacion
25,1764859261.037721,1764859262.037787,apoyo
25,1764859262.0378737,1764859263.0379372,oscilacion
26,1764859263.0398285,1764859264.0398958,apoyo
26,1764859264.0399365,1764859265.0400026,oscilacion
27,1764859265.0420208,1764859266.042089,apoyo
27,1764859266.0421243,1764859267.0421875,oscilacion
28,1764859267.0441744,1764859268.0442388,apoyo
28,1764859268.0442595,1764859269.0443227,oscilacion
29,1764859269.0462384,1764859270.0463047,apoyo
29,1764859270.0463455,1764859271.0464091,oscilacion
30,1764859271.0484326,1764859272.0484989,apoyo
30,1764859272.0485313,1764859273.0485938,oscilacion
